FormInfo ^{
	DoubleQuote="
}
Items ^{
    Hull ^{
        Text=Стойкость корпуса: <Size> (<MaxSize>) единиц, обшивка блокирует до <HitProtect> единиц ущерба.
		Text=<clr><clrEnd>
		Text=Восприимчивость к урону:<br>Э:<FragilityE>%  О:<FragilityS>%  Р:<FragilityM>%
	}
}
MicroModuls ^{
	ExpHulls_Killer1 ^{
		Equipments=Hull
		KindGraph=1
		Name=Корпус "Убийца" I
		Priority=10
		Special=1
		LockedAcryn=3
		NonSearchable=1
		Text=Навык точности: <bonSkill1>
		Text=Сила энергетического оружия: <bonWEnergy> ед.
		Text=Сила осколочного оружия: <bonWSplinter> ед.
		Text=Сила ракетного оружия: <bonWMissile> ед.
		Text=Скорость двигателя: <bonSpeed> ед.
		Text=Навык манёвренности: <bonSkill2>
		Text=Навык торговли: <bonSkill4>
		Text=Навык обаяния: <bonSkill5>
		Fragility=100
		Cost=200
		Size=100
		bonSkill1=1
		bonWEnergy=7
		bonWSplinter=10
		bonWMissile=10
		bonSpeed=50
		bonSlotArt=-2
		bonSlotForsage=-1
		bonSlotScaner=-1
		bonSkill2=-1
		bonSkill4=-1
		bonSkill5=-1
	}
	ExpHulls_Killer2 ^{
		Equipments=Hull
		KindGraph=1
		Name=Корпус "Убийца" II
		Priority=30
		Special=1
		LockedAcryn=3
		NonSearchable=1
		Text=Навык точности: <bonSkill1>
		Text=Сила энергетического оружия: <bonWEnergy> ед.
		Text=Сила осколочного оружия: <bonWSplinter> ед.
		Text=Сила ракетного оружия: <bonWMissile> ед.
		Text=Скорость двигателя: <bonSpeed> ед.
		Text=Навык манёвренности: <bonSkill2>
		Text=Навык торговли: <bonSkill4>
		Text=Навык обаяния: <bonSkill5>
		Fragility=100
		Cost=300
		Size=100
		bonSkill1=1
		bonWEnergy=8
		bonWSplinter=11
		bonWMissile=11
		bonSpeed=75
		bonSlotArt=-2
		bonSlotForsage=-1
		bonSlotScaner=-1
		bonSkill2=-1
		bonSkill4=-1
		bonSkill5=-1
	}
	ExpHulls_Killer3 ^{
		Equipments=Hull
		KindGraph=1
		Name=Корпус "Убийца" III
		Priority=50
		Special=1
		LockedAcryn=3
		NonSearchable=1
		Text=Навык точности: <bonSkill1>
		Text=Сила энергетического оружия: <bonWEnergy> ед.
		Text=Сила осколочного оружия: <bonWSplinter> ед.
		Text=Сила ракетного оружия: <bonWMissile> ед.
		Text=Скорость двигателя: <bonSpeed> ед.
		Text=Навык манёвренности: <bonSkill2>
		Text=Навык торговли: <bonSkill4>
		Text=Навык обаяния: <bonSkill5>
		Fragility=100
		Cost=400
		Size=100
		bonSkill1=1
		bonWEnergy=9
		bonWSplinter=12
		bonWMissile=12
		bonSpeed=100
		bonSlotArt=-2
		bonSlotForsage=-1
		bonSlotScaner=-1
		bonSkill2=-1
		bonSkill4=-1
		bonSkill5=-1
	}
	ExpHulls_Killer4 ^{
		Equipments=Hull
		KindGraph=1
		Name=Корпус "Убийца" IV
		Priority=70
		Special=1
		LockedAcryn=3
		NonSearchable=1
		Text=Навык точности: <bonSkill1>
		Text=Сила энергетического оружия: <bonWEnergy> ед.
		Text=Сила осколочного оружия: <bonWSplinter> ед.
